SITE,AREA,NUM
Seattle,206,+12064362020
Seattle,206,+12064362025
Seattle,206,+12064362026
Seattle,206,+12064362027
Seattle,206,+12064362028
Seattle,206,+12064383641
Seattle,206,+12064383656
Seattle,206,+12064438255
Seattle,206,+12064439022
Seattle,206,+12064485950
Seattle,206,+12064557401
Seattle,206,+12064557402
Seattle,206,+12064557403
Seattle,206,+12064557404
Seattle,206,+12064557405
Seattle,206,+12064557406
Seattle,206,+12064557407
Seattle,206,+12064557408
Seattle,206,+12064557409
Seattle,206,+12064557410
Seattle,206,+12064557411
Seattle,206,+12064557412
Seattle,206,+12064557413
Seattle,206,+12064557414
Seattle,206,+12064557415
Seattle,206,+12064557416
Seattle,206,+12064557417
Seattle,206,+12064557418
Seattle,206,+12064557419
Seattle,206,+12064557420
Seattle,206,+12064557421
Seattle,206,+12064557422
Seattle,206,+12064557423
Seattle,206,+12064557424
Seattle,206,+12064557425
Seattle,206,+12064557426
Seattle,206,+12064557427
Seattle,206,+12064557428
Seattle,206,+12064557429
Seattle,206,+12064557430
Seattle,206,+12064557431
Seattle,206,+12064557432
Seattle,206,+12064557433
Seattle,206,+12064557434
Seattle,206,+12064557435
Seattle,206,+12064557436
Seattle,206,+12064557437
Seattle,206,+12064557438
Seattle,206,+12064557439
Seattle,206,+12064557440
Seattle,206,+12064557441
Seattle,206,+12064557442
Seattle,206,+12065081930
Seattle,206,+12065081931
Seattle,206,+12065081932
Seattle,206,+12065081933
Seattle,206,+12065081934
Seattle,206,+12065081935
Seattle,206,+12065081936
Seattle,206,+12065081937
Seattle,206,+12065081938
Seattle,206,+12065081939
Seattle,206,+12065081940
Seattle,206,+12065081941
Seattle,206,+12065081942
Seattle,206,+12065081943
Seattle,206,+12065081944
Seattle,206,+12065081945
Seattle,206,+12065081946
Seattle,206,+12065081947
Seattle,206,+12065081948
Seattle,206,+12065081949
Seattle,206,+12065081950
Seattle,206,+12065081951
Seattle,206,+12065081952
Seattle,206,+12065081953
Seattle,206,+12065081954
Seattle,206,+12065081955
Seattle,206,+12065081956
Seattle,206,+12065081957
Seattle,206,+12065081958
Seattle,206,+12065081959
Seattle,206,+12065081960
Seattle,206,+12065081961
Seattle,206,+12065081962
Seattle,206,+12065081963
Seattle,206,+12065081964
Seattle,206,+12065081965
Seattle,206,+12065081966
Seattle,206,+12065081967
Seattle,206,+12065081968
Seattle,206,+12065081969
Seattle,206,+12065081970
Seattle,206,+12065081971
Seattle,206,+12065081972
Seattle,206,+12065081973
Seattle,206,+12065081974
Seattle,206,+12065081975
Seattle,206,+12065081976
Seattle,206,+12065081977
Seattle,206,+12065081978
Seattle,206,+12065081979
Seattle,206,+12068762941
Seattle,206,+12068762942
Seattle,206,+12068762943
Seattle,206,+12068762944
Seattle,206,+12068762945
Seattle,206,+12068762946
Seattle,206,+12068762947
Seattle,206,+12068762948
Seattle,206,+12068762949
Seattle,206,+12068762950
Seattle,206,+12068762951
Seattle,206,+12068762952
Seattle,206,+12068762953
Seattle,206,+12068762954
Seattle,206,+12068762955
Seattle,206,+12068762956
Seattle,206,+12068762957
Seattle,206,+12068762958
Seattle,206,+12068762959
Seattle,206,+12068762960
Seattle,206,+12068762961
Seattle,206,+12068762962
Seattle,206,+12068762963
Seattle,206,+12068762964
Seattle,206,+12068762965
Seattle,206,+12068762966
Seattle,206,+12068762967
Seattle,206,+12068762968
Seattle,206,+12068762969
Seattle,206,+12068762970
Seattle,206,+12068762971
Seattle,206,+12068762972
